trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,gross_buying_pct,gross_selling_pct,net_buying_pct,net_buying_dollars,tickers_bought,tickers_sold,tickers_new,tickers_exited,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,subtheme_weight_prior,subtheme_weight_current,subtheme_weight_change,active_tickers,all_tickers_in_subtheme,ticker,company,theme,initial_weight_pct,became_active_add
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,,,,,,0.00,3.91,3.91,MU,MU,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,,,AI/Hyperscaler,,,,,,0.00,11.65,11.65,"AMZN, GOOGL","AMZN, GOOGL",,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,,,AI/Hyperscaler,,,,,,0.00,11.65,11.65,"AMZN, GOOGL","AMZN, GOOGL",,,,,
NEW_AI_POSITION_2PCT,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMZN,AMAZON COM INC,AI/Hyperscaler,4.70,FALSE
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Chips,NVDA,4.11,4.11,FALSE,,,,,,,,,,,
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,,,AI/Hyperscaler,"GOOGL, AMZN","6.95, 4.70",11.65,FALSE,,,,,,,,,,,
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,MU,3.91,3.91,TRUE,MU,,,,,,,,,,
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,,,AI/EV,TSLA,5.14,5.14,FALSE,,,,,,,,,,,
AI_BASKET_RAMP,2020-08-14,2020-06-30,8.02,16.53,8.51,97.98,4,"INTC, XLNX",MU,,"MU:6.01, XLNX:3.67, INTC:3.59, NVDA:3.26",10.21,0.52,9.69,68653139,MU +$21M,NVDA -$4M,"XLNX, INTC",,,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,,,AI/Edge Computing,,,,,,0.00,3.67,3.67,XLNX,XLNX,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,,,Semiconductor Manufacturing,,,,,,0.00,3.59,3.59,INTC,INTC,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,,,,,,3.91,6.01,2.11,MU,MU,,,,,
NEW_AI_POSITION_2PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XLNX,XILINX INC,AI/Edge Computing,3.67,FALSE
NEW_AI_POSITION_2PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTC,INTEL CORP,Semiconductor Manufacturing,3.59,FALSE
NEW_AI_SUBTHEME,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,,,AI/Edge Computing,XLNX,3.67,3.67,FALSE,,,,,,,,,,,
NEW_AI_SUBTHEME,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,,,Semiconductor Manufacturing,INTC,3.59,3.59,FALSE,,,,,,,,,,,
AI_BASKET_RAMP,2021-06-01,2021-03-31,1.75,7.57,5.82,69.99,3,"AMD, INTC",,,"AMD:5.36, MU:1.68, INTC:0.52",6.51,0.00,6.51,288714657,MU +$28M,,"AMD, INTC",,,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2021-06-01,2021-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Chips,,,,,,0.00,5.36,5.36,AMD,AMD,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2021-06-01,2021-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Chips,,,,,,0.00,5.36,5.36,AMD,AMD,,,,,
NEW_AI_POSITION_2PCT,2021-06-01,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD,ADVANCED MICRO DEVICES INC,AI/Datacenter Chips,5.36,FALSE
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2021-08-16,2021-06-30,,,,,,,,,,,,,,,,,,AI/Hyperscaler,,,,,,0.00,4.26,4.26,"AMZN, GOOGL","AMZN, GOOGL",,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2021-08-16,2021-06-30,,,,,,,,,,,,,,,,,,AI/Hyperscaler,,,,,,0.00,4.26,4.26,"AMZN, GOOGL","AMZN, GOOGL",,,,,
NEW_AI_POSITION_2PCT,2021-08-16,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMZN,AMAZON COM INC,AI/Hyperscaler,2.92,TRUE
AI_BASKET_RAMP,2022-02-14,2021-12-31,1.27,10.98,9.71,98.82,2,INTC,MU,MRVL,"INTC:6.70, MU:4.28",8.91,0.00,8.91,285097912,MU +$71M,,INTC,MRVL,,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-02-14,2021-12-31,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,,,,,,1.19,4.28,3.08,MU,MU,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-02-14,2021-12-31,,,,,,,,,,,,,,,,,,Semiconductor Manufacturing,,,,,,0.00,6.70,6.70,INTC,INTC,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2022-02-14,2021-12-31,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,,,,,,1.19,4.28,3.08,MU,MU,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2022-02-14,2021-12-31,,,,,,,,,,,,,,,,,,Semiconductor Manufacturing,,,,,,0.00,6.70,6.70,INTC,INTC,,,,,
NEW_AI_POSITION_2PCT,2022-02-14,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTC,INTEL CORP,Semiconductor Manufacturing,6.70,FALSE
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-08-15,2022-06-30,,,,,,,,,,,,,,,,,,AI/EV,,,,,,1.67,2.73,1.05,TSLA,TSLA,,,,,
NEW_AI_POSITION_2PCT,2022-08-15,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,META,META PLATFORMS INC,AI/Hyperscaler,8.74,TRUE
NEW_AI_POSITION_2PCT,2022-08-15,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORCL,ORACLE CORP,AI/Hyperscaler,3.42,FALSE
